key,en-US,ja-JP,ko-KR,zh-CN,es-ES,de-DE,fr-FR
label_stable_version,Stable,安定版,안정 버전,稳定版,Estable,Stabil,Stable
label_buggy_version,Buggy,バグの多い版,버그 버전,问题版,Defectuosa,Fehlerhaft,Instable
label_beta_version,Beta,ベータ版,베타 버전,测试版,Beta,Beta,Bêta
label_latest_version,Latest '{0}' version:,最新の「{0}」バージョン:,최신 '{0}' 버전:,最新“{0}”版本：,Última versión de '{0}':,Neueste '{0}'-Version:,Dernière version « {0} » :
label_your_version,Your '{0}' version:,あなたの「{0}」バージョン:,현재 '{0}' 버전:,你的“{0}”版本：,Tu versión de '{0}':,Ihre '{0}'-Version:,Votre version « {0} » :
label_made_by,made by,制作:,제작:,制作：,hecho por,hergestellt von,fabriqué par
log_request_sender_load_image_error,Failed to load image: {0}.,画像を読み込めませんでした: {0}。,이미지를 불러오지 못했습니다: {0}.,无法加载图像：{0}。,No se pudo cargar la imagen: {0}.,Bild konnte nicht geladen werden: {0}.,Impossible de charger l’image : {0}.
log_request_sender_get_error,RequestSender.Get error: {0}.,RequestSender.Get エラー: {0}。,RequestSender.Get 오류: {0}.,RequestSender.Get 错误：{0}。,Error de RequestSender.Get: {0}.,RequestSender.Get-Fehler: {0}.,Erreur RequestSender.Get : {0}.
log_request_sender_post_error,{0} error: {1}.,{0} のエラー: {1}。,{0} 오류: {1}.,{0} 错误：{1}。,Error en {0}: {1}.,{0}-Fehler: {1}.,Erreur {0} : {1}.
log_openai_request_started,{0} | Sending request to OpenAI API with model '{1}' and prompt: {2}.,{0} | モデル「{1}」とプロンプト {2} で OpenAI API にリクエストを送信しています。,{0} | 모델 '{1}'와 프롬프트 {2}로 OpenAI API에 요청을 보내는 중입니다.,{0} | 使用模型“{1}”和提示 {2} 向 OpenAI API 发送请求。,{0} | Enviando solicitud a la API de OpenAI con el modelo '{1}' y el prompt {2}.,{0} | Anfrage an die OpenAI-API mit Modell „{1}“ und Prompt {2} wird gesendet.,{0} | Envoi d’une requête à l’API OpenAI avec le modèle « {1} » et le prompt {2}.
log_openai_empty_response,{0} | Received an empty response.,{0} | 空のレスポンスを受信しました。,{0} | 빈 응답을 받았습니다.,{0} | 收到空响应。,{0} | Se recibió una respuesta vacía.,{0} | Leere Antwort empfangen.,{0} | Réponse vide reçue.
log_openai_invalid_response,{0} | Invalid response structure.,{0} | レスポンスの形式が正しくありません。,{0} | 응답 구조가 올바르지 않습니다.,{0} | 响应结构无效。,{0} | La estructura de la respuesta no es válida.,{0} | Ungültige Antwortstruktur.,{0} | Structure de réponse non valide.
log_initial_language_set,[{0}] Initial language set to '{1}'.,[{0}] 初期言語を「{1}」に設定しました。,[{0}] 초기 언어가 '{1}'로 설정되었습니다.,[{0}] 初始语言设置为“{1}”。,[{0}] Idioma inicial establecido en '{1}'.,[{0}] Anfangssprache auf „{1}“ gesetzt.,[{0}] Langue initiale définie sur « {1} ».
log_localization_format_error,Format error in localization key '{0}' for language '{1}'. Returning unformatted text: {2}.,言語「{1}」のローカライズキー「{0}」で書式エラーが発生しました。未整形のテキスト {2} を返します。,언어 '{1}'의 로컬라이즈 키 '{0}'에서 서식 오류가 발생했습니다. 서식되지 않은 텍스트 {2}를 반환합니다.,语言“{1}”的本地化键“{0}”存在格式错误。返回未格式化的文本：{2}。,Error de formato en la clave '{0}' para el idioma '{1}'. Se devuelve el texto sin formato: {2}.,Formatfehler im Lokalisierungsschlüssel „{0}“ für Sprache „{1}“. Unformatierter Text {2} wird zurückgegeben.,Erreur de format pour la clé « {0} » en langue « {1} ». Renvoi du texte non formaté : {2}.
log_scene_backup_created,A backup of your scene is created at the path:\n{0},シーンのバックアップを次のパスに作成しました:\n{0},다음 경로에 씬 백업이 생성되었습니다:\n{0},已在以下路径创建场景备份：\n{0},Se creó una copia de seguridad de la escena en la ruta:\n{0},Ein Backup Ihrer Szene wurde unter folgendem Pfad erstellt:\n{0},Une sauvegarde de la scène a été créée à l’emplacement :\n{0}
log_scene_backup_failed,Error creating scene backup:\n{0},シーンのバックアップ作成中にエラー:\n{0},씬 백업 생성 중 오류:\n{0},创建场景备份时出错：\n{0},Error al crear la copia de seguridad de la escena:\n{0},Fehler beim Erstellen der Szenensicherung:\n{0},Erreur lors de la création de la sauvegarde de scène :\n{0}
log_cant_execute_no_backup,Unable to execute because no backup was created.,バックアップが作成されていないため実行できません。,백업이 생성되지 않아 실행할 수 없습니다.,由于未创建备份，无法执行。,No se puede ejecutar porque no se creó ninguna copia de seguridad.,"Ausführung nicht möglich, da kein Backup erstellt wurde.",Exécution impossible car aucune sauvegarde n’a été créée.
log_selection_null,Selection.activeGameObject is null.,Selection.activeGameObject が null です。,Selection.activeGameObject 가 null입니다.,Selection.activeGameObject 为空。,Selection.activeGameObject es nulo.,Selection.activeGameObject ist null.,Selection.activeGameObject est nul.
log_object_not_selected,'{0}' not selected in hierarchy.,「{0}」がヒエラルキーで選択されていません。,'{0}' 이(가) 계층에서 선택되지 않았습니다.,“{0}” 未在层级视图中选中。,'{0}' no está seleccionado en la jerarquía.,„{0}“ ist in der Hierarchie nicht ausgewählt.,« {0} » n’est pas sélectionné dans la hiérarchie.
log_prefab_reset,{0} has been reset to a prefab state.,{0} はプレハブの状態にリセットされました。,{0}이(가) 프리팹 상태로 재설정되었습니다.,{0} 已重置为预制件状态。,{0} se ha restablecido a su estado de prefab.,{0} wurde auf den Prefab-Zustand zurückgesetzt.,{0} a été réinitialisé à l’état de prefab.
log_no_components,No components in '{0}'.,「{0}」にはコンポーネントがありません。,'{0}'에는 컴포넌트가 없습니다.,“{0}” 中没有任何组件。,No hay componentes en '{0}'.,In „{0}“ befinden sich keine Komponenten.,Il n’y a aucun composant dans « {0} ».
log_properties_reset,{0} properties reset.,{0} 個のプロパティをリセットしました。,{0}개의 속성이 재설정되었습니다.,{0} 个属性已重置。,{0} propiedades restablecidas.,{0} Eigenschaften zurückgesetzt.,{0} propriétés réinitialisées.
log_canvas_children_destroyed,Destroyed {0} child objects.,{0} 個の子オブジェクトを削除しました。,{0}개의 자식 오브젝트를 삭제했습니다.,已删除 {0} 个子对象。,Se eliminaron {0} objetos hijo.,{0} Kindobjekte entfernt.,{0} objets enfants ont été supprimés.
log_gameobject_is_null,gameObject is null.,gameObject が null です。,gameObject 가 null입니다.,gameObject 为 null。,gameObject es nulo.,gameObject ist null.,gameObject est nul.
log_select_folder_inside_assets,Please select a folder inside the project's Assets directory.,プロジェクトの Assets フォルダー内のフォルダーを選択してください。,프로젝트 Assets 폴더 내부의 폴더를 선택하세요.,请选择项目 Assets 目录中的文件夹。,Selecciona una carpeta dentro del directorio Assets del proyecto.,Bitte wählen Sie einen Ordner innerhalb des Assets-Verzeichnisses des Projekts.,Veuillez sélectionner un dossier à l’intérieur du répertoire Assets du projet.
log_sprites_removed,{0} sprites removed.,{0} 個のスプライトを削除しました。,{0}개의 스프라이트가 제거되었습니다.,已删除 {0} 个精灵。,Se eliminaron {0} sprites.,{0} Sprites wurden entfernt.,{0} sprites ont été supprimés.
log_sprite_provider_not_found,Failed to get ISpriteEditorDataProvider.,ISpriteEditorDataProvider を取得できませんでした。,ISpriteEditorDataProvider를 가져오지 못했습니다.,无法获取 ISpriteEditorDataProvider。,No se pudo obtener ISpriteEditorDataProvider.,ISpriteEditorDataProvider konnte nicht abgerufen werden.,Impossible d’obtenir ISpriteEditorDataProvider.
log_sprite_border_updated,Updated border to: {0}.,ボーダーを {0} に更新しました。,테두리를 {0}로 업데이트했습니다.,已将边框更新为 {0}。,Borde actualizado a {0}.,Rand auf {0} aktualisiert.,Bordure mise à jour sur {0}.
log_sprite_reimport_success,Asset reimported successfully.,アセットの再インポートに成功しました。,에셋을 다시 가져오는 데 성공했습니다.,资源重新导入成功。,El asset se volvió a importar correctamente.,Asset erfolgreich erneut importiert.,L’actif a été réimporté avec succès.
log_sprite_reimport_failed,Failed to reimport the asset.,アセットの再インポートに失敗しました。,에셋을 다시 가져오지 못했습니다.,未能重新导入该资源。,No se pudo volver a importar el asset.,Asset konnte nicht erneut importiert werden.,Échec de la réimportation de l’actif.
log_scenehierarchy_method_missing,"Could not find method 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)'.","メソッド 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)' が見つかりません。","'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)' 메서드를 찾을 수 없습니다.","找不到方法 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)'。","No se encontró el método 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)'.","Methode 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)' wurde nicht gefunden.","Impossible de trouver la méthode 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)'."
log_scenehierarchy_field_missing,Could not find field 'int UnityEngine.SceneManagement.Scene.m_Handle'.,フィールド 'int UnityEngine.SceneManagement.Scene.m_Handle' が見つかりません。,필드 'int UnityEngine.SceneManagement.Scene.m_Handle'을 찾을 수 없습니다.,找不到字段 'int UnityEngine.SceneManagement.Scene.m_Handle'。,No se encontró el campo 'int UnityEngine.SceneManagement.Scene.m_Handle'.,Feld 'int UnityEngine.SceneManagement.Scene.m_Handle' wurde nicht gefunden.,Impossible de trouver le champ 'int UnityEngine.SceneManagement.Scene.m_Handle'.
log_urihelpers_type_not_found,Failed to find the type URIHelpers. Ensure that you are using this code within the Unity Editor.,URIHelpers 型を見つけられませんでした。Unity Editor 内でこのコードを使用していることを確認してください。,URIHelpers 타입을 찾을 수 없습니다. Unity 에디터 내에서 이 코드를 사용하고 있는지 확인하세요.,无法找到 URIHelpers 类型。请确认在 Unity 编辑器中使用此代码。,No se pudo encontrar el tipo URIHelpers. Asegúrate de usar este código dentro del editor de Unity.,"URIHelpers-Typ wurde nicht gefunden. Stellen Sie sicher, dass Sie diesen Code im Unity-Editor verwenden.",Impossible de trouver le type URIHelpers. Assurez-vous d’utiliser ce code dans l’éditeur Unity.
log_makeasseturi_method_missing,Failed to find the method MakeAssetUri. Check if the method is accessible.,MakeAssetUri メソッドを見つけられませんでした。アクセス可能か確認してください。,MakeAssetUri 메서드를 찾을 수 없습니다. 접근 가능한지 확인하세요.,未找到 MakeAssetUri 方法。请检查其可访问性。,No se encontró el método MakeAssetUri. Comprueba que sea accesible.,"Methode MakeAssetUri wurde nicht gefunden. Prüfen Sie, ob sie zugänglich ist.",Impossible de trouver la méthode MakeAssetUri. Vérifiez qu’elle est accessible.
log_null_datatable,<null DataTable>,〈null DataTable〉,<null DataTable>,<null DataTable>,<null DataTable>,<null DataTable>,<null DataTable>
log_unknown_group_type,Unknown group type.,不明なグループ種別です。,알 수 없는 그룹 유형입니다.,未知的组类型。,Tipo de grupo desconocido.,Unbekannter Gruppentyp.,Type de groupe inconnu.
log_update_checker_parse_failed,Failed to parse web config: {0}.,Web 設定の解析に失敗しました: {0}。,웹 구성 파싱에 실패했습니다: {0}.,解析 Web 配置失败：{0}。,Error al analizar la configuración web: {0}.,Web-Konfiguration konnte nicht analysiert werden: {0}.,Échec de l’analyse de la configuration Web : {0}.
log_update_checker_load_failed,Failed to load web config: {0}.,Web 設定の読み込みに失敗しました: {0}。,웹 구성을 불러오지 못했습니다: {0}.,加载 Web 配置失败：{0}。,Error al cargar la configuración web: {0}.,Web-Konfiguration konnte nicht geladen werden: {0}.,Échec du chargement de la configuration Web : {0}.
label_help,Help,ヘルプ,도움말,帮助,Ayuda,Hilfe,Aide
text_close,Close,閉じる,닫기,关闭,Cerrar,Schließen,Fermer
