key,en-US,ja-JP,ko-KR,zh-CN,es-ES,de-DE,fr-FR
log_script_change_detected,"Script or DLL change detected, starting dependency check.","スクリプトまたは DLL の変更を検出したため、依存関係のチェックを開始します。","스크립트 또는 DLL 변경이 감지되어 의존성 검사를 시작합니다.","检测到脚本或 DLL 发生变化，开始执行依赖项检查。","Se detectó un cambio en un script o DLL; iniciando la comprobación de dependencias.","Script- oder DLL-Änderung erkannt, Abhängigkeitsprüfung wird gestartet.","Modification de script ou de DLL détectée, lancement de la vérification des dépendances."
log_manual_check_started,"Manual check initiated for '{0}'.","「{0}」の手動チェックを開始しました。","'{0}'에 대한 수동 검사를 시작했습니다.","已对“{0}”启动手动检查。","Se inició una comprobación manual para '{0}'.","Manuelle Überprüfung für „{0}“ gestartet.","Contrôle manuel démarré pour « {0} »."
log_no_status_change,"No status change for '{0}'. Defines were not updated.","「{0}」に状態の変化はありません。定義は更新されませんでした。","'{0}'의 상태 변화가 없습니다. 정의는 업데이트되지 않았습니다.","“{0}”没有状态变化。未更新任何定义。","No hubo cambios de estado para '{0}'. No se actualizaron las definiciones.","Kein Statuswechsel für „{0}“. Defines wurden nicht aktualisiert.","Aucun changement d'état pour « {0} ». Les définitions n'ont pas été mises à jour."
log_dependency_items_found,"Found {0} dependency items to check.","{0} 件の依存項目が見つかりました。","검사할 의존 항목 {0}개를 찾았습니다.","找到 {0} 个需要检查的依赖项。","Se encontraron {0} elementos de dependencia para revisar.","{0} Abhängigkeitseinträge zum Prüfen gefunden.","{0} éléments de dépendance à vérifier ont été trouvés."
log_changes_detected,"Changes detected, applying new scripting define symbols.","変更を検出。新しいスクリプト定義シンボルを適用します。","변경 사항을 감지했습니다. 새 스크립팅 정의 심볼을 적용합니다.","检测到更改，正在应用新的脚本定义符号。","Se detectaron cambios; aplicando los nuevos símbolos de definición.","Änderungen erkannt, neue Scripting-Define-Symbole werden angewendet.","Des changements ont été détectés, application des nouveaux symboles de définition."
log_dependencies_up_to_date,"All dependencies are up-to-date. No changes made.","すべての依存関係は最新です。変更はありません。","모든 의존성이 최신입니다. 변경 사항이 없습니다.","所有依赖项均为最新。未进行任何更改。","Todas las dependencias están actualizadas. No se realizaron cambios.","Alle Abhängigkeiten sind aktuell. Es wurden keine Änderungen vorgenommen.","Toutes les dépendances sont à jour. Aucun changement effectué."
log_processing_check_type,"Processing '{0}': checking for type '{1}'.","「{0}」を処理中: 型「{1}」を確認しています。","'{0}' 처리 중: 타입 '{1}'을(를) 확인합니다.","正在处理“{0}”：检查类型“{1}”。","Procesando '{0}': comprobando el tipo '{1}'.","Verarbeite „{0}“: Prüfe auf Typ „{1}“.","Traitement de « {0} » : vérification du type « {1} »."
log_processing_type_found,"Processing '{0}': type '{1}' was found in assembly '{2}'.","「{0}」を処理中: 型「{1}」がアセンブリ「{2}」で見つかりました。","'{0}' 처리 중: 타입 '{1}'이(가) 어셈블리 '{2}'에서 발견되었습니다.","正在处理“{0}”：在程序集“{2}”中找到了类型“{1}”。","Procesando '{0}': el tipo '{1}' se encontró en el ensamblado '{2}'.","Verarbeite „{0}“: Typ „{1}“ wurde in Assembly „{2}“ gefunden.","Traitement de « {0} » : le type « {1} » a été trouvé dans l'assembly « {2} »."
log_processing_type_not_found,"Processing '{0}': type '{1}' not found.","「{0}」を処理中: 型「{1}」が見つかりません。","'{0}' 처리 중: 타입 '{1}'을(를) 찾을 수 없습니다.","正在处理“{0}”：未找到类型“{1}”。","Procesando '{0}': no se encontró el tipo '{1}'.","Verarbeite „{0}“: Typ „{1}“ wurde nicht gefunden.","Traitement de « {0} » : type « {1} » introuvable."
log_manual_removal_protection,"'{0}' stays disabled due to manual removal protection.","手動削除保護のため「{0}」は無効のままです。","수동 제거 보호로 인해 '{0}'은 계속 비활성 상태로 유지됩니다.","由于手动删除保护，“{0}”保持禁用状态。","'{0}' permanece deshabilitado debido a la protección de eliminación manual.","„{0}“ bleibt aufgrund des Schutzes vor manueller Entfernung deaktiviert.","« {0} » reste désactivé en raison de la protection contre la suppression manuelle."
log_status_changed,"Status change for '{0}' ({1}). New status: {2}. Path: {3}","「{0}」（{1}）の状態が変更されました。新しい状態: {2}。パス: {3}","'{0}'({1})의 상태가 변경되었습니다. 새 상태: {2}. 경로: {3}","“{0}”（{1}）的状态已更改。新状态：{2}。路径：{3}","Cambio de estado para '{0}' ({1}). Nuevo estado: {2}. Ruta: {3}","Statusänderung für „{0}“ ({1}). Neuer Status: {2}. Pfad: {3}","Changement d'état pour « {0} » ({1}). Nouvel état : {2}. Chemin : {3}"
log_final_desired_defines,"Final desired defines: {0}","最終的に必要な定義: {0}","최종 적용할 정의: {0}","最终需要的定义：{0}","Definiciones finales deseadas: {0}","Endgültig gewünschte Defines: {0}","Définitions finales souhaitées : {0}"
log_final_defines_named_target,"Final defines list for build target '{0}': ""{1}""","ビルドターゲット「{0}」の最終定義: ""{1}""","빌드 타깃 '{0}'의 최종 정의 목록: ""{1}""","构建目标“{0}”的最终定义列表：""{1}""","Lista final de definiciones para el objetivo de compilación '{0}': ""{1}""","Endgültige Define-Liste für Buildziel „{0}“: ""{1}""","Liste finale des définitions pour la cible de build « {0} » : ""{1}"""
log_final_defines_group,"Final defines list for build target group '{0}': ""{1}""","ビルドターゲットグループ「{0}」の最終定義: ""{1}""","빌드 타깃 그룹 '{0}'의 최종 정의 목록: ""{1}""","构建目标组“{0}”的最终定义列表：""{1}""","Lista final de definiciones para el grupo de destino '{0}': ""{1}""","Endgültige Define-Liste für Buildzielgruppe „{0}“: ""{1}""","Liste finale des définitions pour le groupe de cibles « {0} » : ""{1}"""
